Specimen_ID,Treat,mass_g,mass_mg,Temperature,Pressure,Salinity,chamber_volume_ml,chamber_volume_l,chamber_id,1,2,3,4,5,6,7,8,9,10,R^2,time(mins),time(h),Soi,Sof,Soi-Sof,density,sample_volume,water_volume,mg_O2_at_temp,mg_O2_chamber,Coi,Cof,Coi-Cof,specMO2,blankMO2,MO2,CT1,,,,,notes,,,,,,
blank,HT-HC,,0,30,1015,35,2,0.002,small_newsens,105.5,107.3,106.5,103.3,103.4,107.3,103,101.1,102,102.7,0.4928860114,162,2.7,105.5,102.7,2.8,1.25,0,2,6.33,12.66,13.3563,13.00182,0.35448,0.1312888889,,,,,,,,,,,,,,
exdi30HC_1A,HT-HC,0.0674,67.4,30,1015,35,22.2,0.0222,A,103.7,105.9,104,104.1,101.7,101.9,98.3,96.3,95.5,90.1,0.8576375421,162,2.7,103.7,90.1,13.6,1.25,0.05392,22.14608,6.33,140.1846864,145.3715198,126.3064024,19.06511735,7.061154574,,,35.6,,,,,,,,,,,
exdi30HC_2A,HT-HC,0.0594,59.4,30,1015,35,22.2,0.0222,C,102.7,107.5,102.6,98.8,95.2,98.1,94.8,90,89.9,87.8,0.8886419901,162,2.7,102.7,87.8,14.9,1.25,0.04752,22.15248,6.33,140.2251984,144.0112788,123.1177242,20.89355456,7.738353541,,,34.2,,,,,,,,,,,
blank,HT,,0,30,1015,35,215,0.215,BIG_newsens,104.1,109.1,107.2,107.7,102.9,106.7,102,101.1,101.3,97.9,0.62459652,162,2.7,104.1,97.9,6.2,1.25,0,215,6.33,1360.95,1416.74895,1332.37005,84.3789,31.25144444,,,,,,,,,,,,,,
exdi30_1A,HT,0.0855,85.5,30,1015,35,22.2,0.0222,B,92.8,93.6,89.9,85.1,80.2,81.4,78.6,76.3,71.9,69,0.9664398954,162,2.7,92.8,69,23.8,1.25,0.0684,22.1316,6.33,140.093028,130.00633,96.66418932,33.34214066,12.34894099,,,35.4,,,,,,,,,,,
blank,C,,0,25,1015,35,2,0.002,small_oldsens,93,90.3,91.5,91.1,90.6,90.6,90.9,89.6,88.6,88.4,0.7318243721,162,2.7,93,88.4,4.6,1.25,0,2,6.88,13.76,12.7968,12.16384,0.63296,0.2344296296,,,,,,,,,,,,,,
exdiC_1A,C,0.0569,56.9,25,1015,35,22.2,0.0222,D,91.5,90.9,93.3,91.1,90.3,87.5,89.2,87.5,84.9,85.3,0.8008806757,162,2.7,91.5,85.3,6.2,1.25,0.04552,22.15448,6.88,152.4228224,139.4668825,130.0166675,9.450214989,3.500079625,,,32.4,,,,,heatshock,,,,,,
exdiC_2A,C,0.0332,33.2,25,1015,35,2,0.002,F,102.6,97.8,94.4,90.4,86.4,81.8,80.4,73.6,70.9,68.9,0.9932449189,162,2.7,102.6,68.9,33.7,1.25,0.02656,1.97344,6.88,13.5772672,13.93027615,9.354737101,4.575539046,1.694644091,,,33,,,,,,,,,,,
blank,HC,,0,25,1015,35,22.2,0.0222,medium_oldsens,93.8,94.7,95.2,95.4,94.9,96.5,95.8,93.9,92.9,93.5,0.09643330341,162,2.7,93.8,93.5,0.3,1.25,0,22.2,6.88,152.736,143.266368,142.80816,0.458208,0.1697066667,,,,,,,,,,,,,,
exdiHC_1A,HC,0.0432,43.2,25,1015,35,22.2,0.0222,E,100.9,98.8,100.6,99.1,99.9,98.2,98.4,97.6,95.5,95.4,0.7895156656,162,2.7,100.9,95.4,5.5,1.25,0.03456,22.16544,6.88,152.4982272,153.8707112,145.4833087,8.387402496,3.106445369,,,34,,,,,heatshock,,,,,,
