Specimen_ID	Treat	specMO2
exdi30HC_1A	HT-HC	7.061154574
exdi30HC_2A	HT-HC	7.738353541
exdi30_1A	HT	12.34894099
exdiC_1A	C	3.500079625
exdiC_2A	C	1.694644091
exdiHC_1A	HC	3.106445369
exdiH_1A	H	20.13220489
exdiH_2A	H	6.421466764
exdiHCH_1A	HC-H	6.038944482
exdi30HCH_1A	HT-HC-H	7.920869082
exdi30HCH_2A	HT-HC-H	1.140172753
exdi30H_1A	HT-H	8.798643112
exdiHC_2	HC	1.179590707
exdiHC_3	HC	3.789989285
exdiC_3	C	8.812263373
exdi30_2	HT	-1.266906402
exdi30_3	HT	-0.04117545639
exdi30HC_3	HT-HC	0.3705197031
exdi30H_2	HT-H	1.541434752
exdi30H_3	HT-H	-1.673469824
exdi30HCH_3	HT-HC-H	-1.044322032
exdiHCH_2	HC-H	3.192987906
exdiHCH_3	HC-H	1.064513446
exdiH_3	H	2.754744593
exdi30HC_4	HT-HC	-4.513534065
exdi30HC_5	HT-HC	0.8264656518
exdi30_4	HT	1.377373247
exdiC_4	C	-3.110923826
exdiC_5	C	-0.5387515934
exdiHC_4	HC	1.856195077
exdiHC_5	HC	0.3703428354
exdiHC_6	HC	2.678969674
exdiC_6	C	0.8817792269
exdi30_5	HT	0.9767282334
exdi30_6	HT	-0.05691066754
exdi30HC_6	HT_HC	0.2016125587
exdiH_4	H	0.945978325
exdiH_5	H	0.3378786265
exdiHCH_5	HC-H	1.013654145
exdi30HCH_4	HT-HC-H	-0.3583268474
exdi30HCH_5	HT-HC-H	-2.19911796
exdi30H_4	HT-H	1.556793702
exdiHC_7	HC	-2.501585794
exdiHC_8	HC	-3.028290009
exdiC_7	C	0.3490590237
exdiC_8	C	-1.514084973
exdi30HCH_6	HT-HC-H	-2.007874397
exdi30_7	HT	-0.2893049791
exdi30H_5	HT-H	4.357543926
exdi30H_6	HT-H	3.147069689
exdi30HCH_7	HT-HC-H	2.36031928
exdiHCH_4	HC-H	0.6093692338
exdiHCH_6	HC-H	0.6509651077
exdiH_6	H	0.2485204615
exdi30HCH_8	HT-HC-H	-10.10134606
exdi30HCH_9	HT-HC-H	-8.572945645
exdi30H_7	HT-H	-2.722047142
exdiH_7	H	0.3187771756
exdiH_8	H	0.5192597342
exdiHCH_7	HC-H	0.738028412
